DATE,sleep_hrs,Total_Prod.,p,WebD,webD-desW/P,PHP,React,RubyRails,Python,Python Data Analysis,Data Science,Django,Java,Java-Android,C,Swift,DB-studies,Db.visio,SQLServer,R,R-Rstudio,ProjectM.,3D modeling,photoshop,illustrator,substance(CAD),BA/SA,BootstrapStudio,vuejs,x,,,,,,,,,
2/23/2020,7,11.750,7.833,,,,,,,,,,3.167,,,,,,0.750,,,,,,,,,,,,,,,,,,,,
2/24/2020,6,15.417,3.500,,,,,,,,,,10.667,,,,,,1.250,,,,,,,,,,,,,PROGRAM,119.167,Java,119.167,ruby,,python,
2/25/2020,7,12.000,6.250,,,,,,,,,,,,,,,,5.750,,,,,,,,,,,,,WEBDEV,81.083,WD,53.667,rubyrails,27.417,,
2/26/2020,7,10.500,10.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESIGN,2.917,photoshop,1.000,illustrator,1.917,,
2/27/2020,7,12.250,12.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATABASE,51.167,Db.studies,22.750,Db.design,2.167,SQLServ,26.250
2/28/2020,6,13.667,11.083,0.667,,,,,,,,,,,,,1.250,0.667,,,,,,,,,,,,,,,,,,,,,
2/29/2020,5,12.000,12.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGRAM,,,,,,,
3/1/2020,8,8.917,4.250,0.750,,,,,,,,,,,,,2.917,1.000,,,,,,,,,,,,,,Java,119.167,,,,,,
3/2/2020,7,9.833,7.500,,,,,,,,,,0.333,,,,1.750,0.250,,,,,,,,,,,,,,Ruby,,,,,,,
3/3/2020,7,13.667,3.000,,,,,,,,,,0.667,,,,7.000,0.250,2.750,,,,,,,,,,,,,Python,,,,,,,
3/4/2020,6,12.167,7.333,,,,,3.917,,,,,0.500,,,,,,,,,0.417,,,,,,,,,,,,,,,,,
3/5/2020,6,8.917,6.667,0.250,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2020,7,8.750,7.000,,0.250,,,1.500,,,,,,,,,,,,,,,,,,,,,,,,WEBDEV,,,,,,,
3/7/2020,7,11.333,8.250,,,,,0.500,,,,,2.583,,,,,,,,,,,,,,,,,,,WD,,,,,,,
3/8/2020,8,10.333,1.833,,,,,8.333,,,,,0.167,,,,,,,,,,,,,,,,,,,rubyrails,,,,,,,
3/9/2020,7,12.917,3.333,,,,,2.500,,,,,6.083,,,,1.000,,,,,,,,,,,,,,,,,,,,,,
3/10/2020,4,12.833,6.167,,,,,0.833,,,,,,,,,1.000,,3.417,1.083,0.333,,,,,,,,,,,,,,,,,,
3/11/2020,5,12.167,6.750,,,,,,,,,,,,,,5.417,,,,,,,,,,,,,,,,,,,,,,
3/12/2020,7.5,7.833,4.083,,,,,,,,,,2.750,,,,0.167,,0.833,,,,,,,,,,,,,DESIGN,,,,,,,
3/13/2020,7,8.833,5.250,1.333,,,,0.667,,,,,,,,,,,1.583,,,,,,,,,,,,,photoshop,,,,,,,
3/14/2020,6,10.917,9.417,0.500,,,,,,,,,1.000,,,,,,,,,,,,,,,,,,,illustrator,,,,,,,
3/15/2020,6.5,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/16/2020,7,7.167,5.417,,,,,,,,,,,,,,,,1.750,,,,,,,,,,,,,,,,,,,,
3/17/2020,7,9.250,7.333,,,,,0.417,,,,,,,,,,,1.500,,,,,,,,,,,,,,,,,,,,
3/18/2020,8,8.000,8.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/2020,7.5,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATABASE,,,,,,,
3/20/2020,8,0.500,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db.studies,,,,,,,
3/21/2020,7.5,7.000,6.500,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,db.design,,,,,,,
3/22/2020,8,6.333,2.500,1.500,,,,,,,,,2.333,,,,,,,,,,,,,,,,,,,SQLServer,,,,,,,
3/23/2020,7.5,7.750,4.000,,,,,0.500,,,,,2.333,,,,0.917,,,,,,,,,,,,,,,,,,,,,,
3/24/2020,8,5.083,3.000,,,,,1.667,,,,,,,,,0.417,,,,,,,,,,,,,,,,,,,,,,
3/25/2020,8,6.500,4.500,,,,,,,,,,,,,,,,2.000,,,,,,,,,,,,,PM,,,,,,,
3/26/2020,8,2.667,2.417,0.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2020,7.5,6.917,4.083,,,,,1.667,,,,,,,,,,,0.167,,,,,1.000,,,,,,,,,,,,,,,
3/28/2020,8.5,8.083,7.500,,,,,,,,,,,,,,,,0.583,,,,,,,,,,,,,,,,,,,,
3/29/2020,8,5.917,0.833,,,,,2.917,,,,,2.167,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2020,8,6.667,3.583,,,,,,,,,,2.000,,,,,,1.083,,,,,,,,,,,,,,,,,,,,
3/31/2020,6.3,9.750,6.917,,,,,,,,,,,,,,,,2.833,,,,,,,,,,,,,,,,,,,,
4/1/2020,7.5,2.500,2.333,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/2020,8,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/3/2020,7.5,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2020,8,2.750,2.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/2020,8.5,1.000,0.167,,,,,,,,,,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2020,8,2.750,0.250,,,,,,,,,,2.500,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2020,8.5,0.500,0.250,,,,,,,,,,0.250,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2020,9,5.083,3.167,,,,,,,,,,1.917,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2020,8,6.250,4.750,,,,,,,,,,,,,,,,,,,,,,,,1.500,,,,,,,,,,,,
4/10/2020,8,1.833,0.333,,,,,,,,,,1.500,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2020,8,4.833,0.583,,,,,,,,,,4.000,,,,,,,,,,,,,,0.250,,,,,,,,,,,,
4/12/2020,8,4.417,0.500,,,,,,,,,,2.917,,,,,,,,,,,,,,1.000,,,,,,,,,,,,
4/13/2020,8,9.167,3.500,,,,,,,,,,4.667,,,,,,,,,,,,,,1.000,,,,,,,,,,,,
4/14/2020,5.5,2.583,0.917,0.167,,,,,,,,,0.167,,,,,,,,,,,,,,1.333,,,,,,,,,,,,
4/15/2020,8.5,9.917,1.167,,,,,,,,,,2.500,,,,,,,,,,,,1.917,,4.333,,,,,,,,,,,,
4/16/2020,8,6.250,1.250,,,,,,,,,,,,,,,,,,,,,,,,5.000,,,,,,,,,,,,
4/17/2020,8,3.000,1.000,0.083,,,,,,,,,1.917,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2020,8.5,6.250,2.000,1.000,,,,,3.000,,,,,,,,,,,,,,,,,,,0.250,,,,,,,,,,,
4/19/2020,7.5,4.000,0.667,,,,,,,,,,,,,,,,,,,,,,,,1.333,2.000,,,,,,,,,,,
4/20/2020,9,9.250,0.750,1.500,,,,,,,,,4.500,,,,,,,,,,,,,,2.500,,,,,,,,,,,,
4/21/2020,6.5,10.000,2.667,0.250,,,,,,,,,1.250,,,,,,,,,,,,,,5.583,,0.250,,,,,,,,,,
4/22/2020,6,8.167,3.500,1.250,,,,,,,,,0.417,,,,,,,,,,,,,,3.000,,,,,,,,,,,,
4/23/2020,9,8.083,0.583,2.000,,,,,0.917,,,,,,,,,,,,,,,,,,4.583,,,,,,,,,,,,
4/24/2020,8.5,8.667,2.500,,,,,,4.250,,,,1.917,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2020,8.5,11.417,3.333,0.417,,0.333,,,5.667,,,1.083,,,,,,,,,,,,,,,0.583,,,,,,,,,,,,
4/26/2020,7.5,3.917,1.583,2.000,,,,,,,,,,,,,,,,,,,,,,,0.333,,,,,,,,,,,,
4/27/2020,8,8.250,1.583,2.083,,,0.333,,,,,,3.583,,,,,,,,,,,,,,0.667,,,,,,,,,,,,
4/28/2020,9.5,12.000,1.083,0.333,,,,,,,,,,,,,,,,,,,,,,,10.583,,,,,,,,,,,,
4/29/2020,6,7.917,4.000,,,,,,,,,,0.417,,,,,,,,,,,,,,3.500,,,,,,,,,,,,
4/30/2020,9,11.000,3.000,,,,,,0.500,,,,,,,,,,,,,,,,,,7.500,,,,,,,,,,,,
